,id,year,overall_pick,team,player,nationality,position,age,to_year,amateur_team,games_played,goals,assists,points,plus_minus,penalties_minutes,point_shares
225,226,2021,1,Buffalo Sabres,Owen Power,CA,D,18.0,2022.0,Michigan (Big Ten),8.0,2.0,1.0,3.0,3.0,2.0,0.9
226,227,2021,2,Seattle Kraken,Matthew Beniers,US,C,18.0,2022.0,Michigan (Big Ten),10.0,3.0,6.0,9.0,-1.0,0.0,0.9
227,228,2021,3,Anaheim Ducks,Mason Mctavish,CH,C,18.0,2022.0,Peterborough Petes (OHL),9.0,2.0,1.0,3.0,3.0,2.0,0.4
229,230,2021,5,Columbus Blue Jackets,Kent Johnson,CA,C,18.0,2022.0,Michigan (Big Ten),9.0,0.0,3.0,3.0,2.0,2.0,0.2
231,232,2021,7,San Jose Sharks,William Eklund,SE,LW,18.0,2022.0,Djurgardens IF (Sweden),9.0,0.0,4.0,4.0,-3.0,2.0,0.1
235,236,2021,12,Columbus Blue Jackets,Cole Sillinger,US,C,18.0,2022.0,Sioux Falls Stampede (USHL),79.0,16.0,15.0,31.0,-22.0,37.0,1.9
283,284,2021,60,Arizona Coyotes,Janis Moser,CH,D,21.0,2022.0,EHC Biel-Bienne (Swiss),43.0,4.0,11.0,15.0,-10.0,16.0,2.0
448,449,2020,1,New York Rangers,Alexis Lafreniere,CA,LW,18.0,2022.0,Rimouski Oceanic (QMJHL),135.0,31.0,21.0,52.0,-5.0,45.0,5.0
449,450,2020,2,Los Angeles Kings,Quinton Byfield,CA,C,18.0,2022.0,Sudbury Wolves (OHL),46.0,5.0,6.0,11.0,-6.0,22.0,0.5
450,451,2020,3,Ottawa Senators,Tim Stützle,DE,LW,18.0,2022.0,Adler Mannheim (Germany),132.0,34.0,53.0,87.0,-45.0,51.0,7.0
451,452,2020,4,Detroit Red Wings,Lucas Raymond,SE,LW,18.0,2022.0,Frolunda HC (Sweden),82.0,23.0,34.0,57.0,-32.0,16.0,4.2
453,454,2020,6,Anaheim Ducks,Jamie Drysdale,CA,D,18.0,2022.0,Erie Otters (OHL),105.0,7.0,33.0,40.0,-38.0,22.0,4.5
454,455,2020,7,New Jersey Devils,Alexander Holtz,SE,RW,18.0,2022.0,Djurgardens IF (Sweden),9.0,0.0,2.0,2.0,-5.0,2.0,-0.2
455,456,2020,8,Buffalo Sabres,Jack Quinn,CA,RW,18.0,2022.0,Ottawa 67's (OHL),2.0,1.0,1.0,2.0,0.0,0.0,0.2
456,457,2020,9,Minnesota Wild,Marco Rossi,AT,C,18.0,2022.0,Ottawa 67's (OHL),2.0,0.0,0.0,0.0,-1.0,4.0,-0.1
457,458,2020,10,Winnipeg Jets,Cole Perfetti,CA,C,18.0,2022.0,Saginaw Spirit (OHL),18.0,2.0,5.0,7.0,1.0,0.0,0.5
459,460,2020,12,Florida Panthers,Anton Lundell,FI,C,18.0,2022.0,HIFK (Finland),65.0,18.0,26.0,44.0,33.0,18.0,5.0
460,461,2020,13,Carolina Hurricanes,Seth Jarvis,CA,C,18.0,2022.0,Portland Winterhawks (WHL),68.0,17.0,23.0,40.0,11.0,18.0,4.3
464,465,2020,17,Chicago Blackhawks,Lukas Reichel,DE,LW,18.0,2022.0,Eisbaren Berlin (Germany),11.0,0.0,1.0,1.0,-8.0,0.0,-0.4
465,466,2020,18,New Jersey Devils,Dawson Mercer,CA,C,18.0,2022.0,Chicoutimi Sagueneens (QMJHL),82.0,17.0,25.0,42.0,-25.0,28.0,2.6
466,467,2020,19,New York Rangers,Braden Schneider,CA,D,18.0,2022.0,Brandon Wheat Kings (WHL),43.0,2.0,9.0,11.0,5.0,9.0,2.4
468,469,2020,21,Columbus Blue Jackets,Yegor Chinakhov,RU,RW,19.0,2022.0,Omskie Yastreby (Russia Jr.),62.0,7.0,7.0,14.0,-27.0,16.0,-0.3
469,470,2020,22,Washington Capitals,Hendrix Lapierre,CA,C,18.0,2022.0,Chicoutimi Sagueneens (QMJHL),6.0,1.0,0.0,1.0,2.0,2.0,0.2
472,473,2020,25,Colorado Avalanche,Justin Barron,CA,D,18.0,2022.0,Halifax Mooseheads (QMJHL),7.0,1.0,1.0,2.0,-3.0,0.0,0.2
473,474,2020,26,St. Louis Blues,Jake Neighbours,CA,LW,18.0,2022.0,Edmonton Oil Kings (WHL),9.0,1.0,1.0,2.0,-2.0,2.0,0.1
474,475,2020,27,Anaheim Ducks,Jacob Perreault,CA,RW,18.0,2022.0,Sarnia Sting (OHL),1.0,0.0,0.0,0.0,-1.0,0.0,-0.1
481,482,2020,34,Buffalo Sabres,John-Jason Peterka,DE,RW,18.0,2022.0,EHC Munchen (Germany),2.0,0.0,0.0,0.0,0.0,0.0,0.0
485,486,2020,38,San Jose Sharks,Thomas Bordeleau,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),8.0,0.0,5.0,5.0,-1.0,0.0,0.3
530,531,2020,84,New Jersey Devils,Nicolas Daws,DE,G,19.0,2022.0,Guelph Storm (OHL),25.0,0.0,0.0,0.0,0.0,0.0,2.5
587,588,2020,141,Chicago Blackhawks,Isaak Phillips,CA,D,18.0,2022.0,Sudbury Wolves (OHL),4.0,0.0,0.0,0.0,-1.0,4.0,0.0
627,628,2020,181,Ottawa Senators,Cole Reinhardt,CA,LW,20.0,2022.0,Brandon Wheat Kings (WHL),1.0,0.0,0.0,0.0,0.0,2.0,0.0
647,648,2020,201,San Jose Sharks,Adam Raska,CZ,RW,18.0,2022.0,Rimouski Oceanic (QMJHL),5.0,0.0,0.0,0.0,1.0,7.0,0.0
664,665,2019,1,New Jersey Devils,Jack Hughes,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),166.0,44.0,64.0,108.0,-45.0,26.0,8.5
665,666,2019,2,New York Rangers,Kaapo Kakko,FI,RW,18.0,2022.0,TPS (Finland),157.0,26.0,32.0,58.0,-14.0,34.0,3.8
666,667,2019,3,Chicago Blackhawks,Kirby Dach,CA,C,18.0,2022.0,Saskatoon Blades (WHL),152.0,19.0,40.0,59.0,-22.0,71.0,3.0
667,668,2019,4,Colorado Avalanche,Bowen Byram,CA,D,18.0,2022.0,Vancouver Giants (WHL),49.0,5.0,14.0,19.0,8.0,35.0,3.4
668,669,2019,5,Los Angeles Kings,Alex Turcotte,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),8.0,0.0,0.0,0.0,0.0,2.0,-0.1
669,670,2019,6,Detroit Red Wings,Moritz Seider,DE,D,18.0,2022.0,Adler Mannheim (Germany),82.0,7.0,43.0,50.0,-9.0,34.0,6.7
670,671,2019,7,Buffalo Sabres,Dylan Cozens,CA,C,18.0,2022.0,Lethbridge Hurricanes (WHL),120.0,17.0,34.0,51.0,-34.0,71.0,2.8
671,672,2019,8,Edmonton Oilers,Philip Broberg,SE,D,18.0,2022.0,AIK (Sweden-2),23.0,1.0,2.0,3.0,-8.0,8.0,0.0
672,673,2019,9,Anaheim Ducks,Trevor Zegras,US,C,18.0,2022.0,USA U-18 Development Team (USDP/USHL),99.0,26.0,48.0,74.0,-15.0,62.0,6.8
673,674,2019,10,Vancouver Canucks,Vasily Podkolzin,RU,RW,18.0,2022.0,SKA Neva St. Petersburg (Russia-2),79.0,14.0,12.0,26.0,7.0,26.0,2.5
674,675,2019,11,Arizona Coyotes,Victor Soderstrom,SE,D,18.0,2022.0,Brynas IF (Sweden),20.0,1.0,1.0,2.0,-3.0,6.0,0.5
675,676,2019,12,Minnesota Wild,Matthew Boldy,US,LW,18.0,2022.0,USA U-18 Development Team (USDP/USHL),47.0,15.0,24.0,39.0,17.0,10.0,4.3
676,677,2019,13,Florida Panthers,Spencer Knight,US,G,18.0,2022.0,USA U-18 Development Team (USDP/USHL),36.0,0.0,0.0,0.0,0.0,0.0,5.5
